Id,Name,City,CountryId,IATA,ICAO,Latitude,Longitude,Altitude,Offset,DST,TimeZone
8503,Bedford County,Bedford,US,,KHMZ,40.086111,-78.513333,1162,-5,A,America/New_York
8504,Wings Field,Philadelphia,US,BBX,KLOM,40.1375,-75.265,302,-5,A,America/New_York
8505,County,Okeechobee,US,OBE,KOBE,27.265833,-80.851111,34,-5,A,America/New_York
8506,Regional - Hendricks AAF,Sebring,US,SEF,KSEF,27.456389,-81.342222,63,-5,A,America/New_York
8507,Executive,Avon Park,US,AVO,KAVO,27.591389,-81.528889,160,-5,A,America/New_York
8508,Gilbert Airport,Winter Haven,US,GIF,KGIF,28.062778,-81.753333,145,-5,A,America/New_York
8509,Municipal Airport,Zephyrhills,US,ZPH,KZPH,28.228056,-82.155833,90,-5,A,America/New_York
8510,International Airport,Ocala,US,OCF,KOCF,29.1725,-82.224167,89,-5,A,America/New_York
8511,Jesup-Wayne County Airport,Jesup,US,JES,KJES,31.553889,-81.8825,107,-5,A,America/New_York
8512,Madison GA Municipal Airport,Madison,US,52A,K52A,33.612125,-83.4604444,694,-5,A,America/New_York
8513,Coweta County Airport,Newnan,US,CCO,KCCO,33.3115656,-84.7697554,970,-5,A,America/New_York
8514,McDuffie County Airport,Thomson,US,HQU,KHQU,33.5297315,-82.5169509,501,-5,A,America/New_York
8515,Municipal Airport,Aiken,US,AIK,KAIK,33.6493889,-81.6850278,529,-5,A,America/New_York
8516,Woodward Field,Camden,US,CDN,KCDN,34.2835833,-80.5648611,302,-5,A,America/New_York
8517,Municipal Airport,Lumberton,US,LBT,KLBT,34.6098056,-79.0595556,125,-5,A,America/New_York
8518,Ridgeland Airport,Ridgeland,US,3J1,\N,32.4934167,-80.99175,79,-5,A,America/New_York
8519,Moore County Airport,Pinehurst-Southern Pines,US,SOP,KSOP,35.2376111,-79.3887958,455,-5,A,America/New_York
8520,Richmond County Airport,Rockingham,US,RCZ,KRCZ,34.8913056,-79.7596111,358,-5,A,America/New_York
8521,Bamberg County Airport,Bamberg,US,99N,\N,33.3045278,-81.1084167,231,-5,A,America/New_York
8522,Richland Airport,Richland Center,US,93C,\N,43.2833575,-90.2982819,742,-6,A,America/Chicago
8523,Municipal Airport,Viroqua,US,Y51,\N,43.5793603,-90.8964742,1292,-6,A,America/Chicago
8524,Baraboo Wisconsin Dells Airport,Baraboo,US,DLL,KDLL,43.5217843,-89.7709266,979,-6,A,America/Chicago
8525,Foster Field,Apple River,US,7A4,\N,42.4664444,-90.1693889,990,-6,A,America/Chicago
8526,Regional Airport,Statesville,US,SVH,KSVH,35.7649958,-80.9538958,968,-5,A,America/New_York
8527,Sylvania Airport,Sturtevant,US,C89,\N,42.70325,-87.9589722,785,-6,A,America/Chicago
8528,Municipal Airport,Burlington,US,BUU,KBUU,42.6907171,-88.3046825,780,-6,A,America/Chicago
8529,Stroudsburg-Pocono Airport,East Stroudsburg,US,N53,\N,41.0358717,-75.1606789,480,-5,A,America/New_York
8530,Spring Hill Airport,Sterling,US,70N,\N,41.3473569,-75.4158972,1729,-5,A,America/New_York
8531,Randall Airport,Middletown,US,06N,\N,41.431912,-74.3915611,523,-5,A,America/New_York
8532,William T. Piper Mem.,Lock Haven,US,LHV,KLHV,41.1357778,-77.4223056,556,-5,A,America/New_York
8533,Grove City Airport,Grove City,US,29D,\N,41.1460278,-80.16775,1371,-5,A,America/New_York
8534,Lansdowne Airport,Youngstown,US,04G,\N,41.1304722,-80.6195833,1044,-5,A,America/New_York
8535,Wadsworth Municipal,Wadsworth,US,3G3,\N,41.0031572,-81.7564401,974,-5,A,America/New_York
8536,Ashland County Airport,Ashland,US,3G4,\N,40.9029722,-82.2556389,1206,-5,A,America/New_York
8537,Pittsburgh-Monroeville Airport,Monroeville,US,4G0,\N,40.4526389,-79.7749167,1187,-5,A,America/New_York
8538,Zelienople Municipal Airport,Zelienople,US,,KPJC,40.8019722,-80.1608611,898,-5,A,America/New_York
8539,Somerset County Airport,Somerset,US,2G9,\N,40.0388708,-79.0149951,2275,-5,A,America/New_York
8540,Youngstown Elser Metro Airport,Youngstown,US,4G4,\N,40.9617953,-80.6773264,1070,-5,A,America/New_York
8541,Braceville Airport,Braceville,US,41N,\N,41.2111675,-80.9692572,900,-5,A,America/New_York
8542,Lorain County Regional Airport,Lorain-Elyria,US,LPR,KLPR,41.3442778,-82.1776389,793,-5,A,America/New_York
8543,Germack Airport,Geneva,US,7D9,\N,41.7778322,-80.9039797,820,-5,A,America/New_York
8544,Burke Lakefront Airport,Cleveland,US,BKL,KBKL,41.5175,-81.683333,583,-5,A,America/New_York
8545,Chautauqua County-Dunkirk Airport,Dunkirk,US,DKK,KDKK,42.4933353,-79.2720417,693,-5,A,America/New_York
8546,Hamburg Inc Airport,Hamburg,US,4G2,\N,42.7008925,-78.9147569,751,-5,A,America/New_York
8547,Trenton-Robbinsville Airport,Trenton,US,N87,\N,40.2139444,-74.6017778,118,-5,A,America/New_York
8548,South Jersey Regional Airport,Mount Holly,US,VAY,KVAY,39.9428889,-74.84575,53,-5,A,America/New_York
8549,Spitfire Aerodrome,Pedricktown,US,7N7,\N,39.7355633,-75.3977211,40,-5,A,America/New_York
8550,Linden Airport,Linden,US,LDJ,KLDJ,40.6174472,-74.2445942,23,-5,A,America/New_York
8551,Morgantown Airport,Morgantown,US,O03,\N,40.1570414,-75.8704892,600,-5,A,America/New_York
8552,Harford County Airport,Churchville,US,0W3,\N,39.5668378,-76.2024028,409,-5,A,America/New_York
8553,Tri-State Steuben County Airport,AO,US,ANQ,KANQ,41.6396983,-85.0834933,995,-5,A,America/New_York
8554,Plymouth Municipal Airport,Plymouth,US,C65,\N,41.3651307,-86.3002574,800,-5,A,America/New_York
8555,Warsaw Municipal Airport,Warsaw,US,,KASW,41.2746944,-85.8400556,850,-5,A,America/New_York
8556,Van Wert County Airport,Van Wert,US,VNW,KVNW,40.8638295,-84.606358,787,-5,A,America/New_York
8557,Port Bucyrus-Crawford County Airport,Bucyrus,US,17G,\N,40.7815556,-82.9748056,1003,-5,A,America/New_York
8558,Lake Wales Municipal Airport,Lake Wales,US,X07,\N,27.8938056,-81.6203889,127,-5,A,America/New_York
8559,Brooks Field Airport,Marshall,US,RMY,KRMY,42.2511932,-84.9554443,941,-5,A,America/New_York
8560,Genesee County Airport,Batavia,US,GVQ,KGVQ,43.03175,-78.1696667,914,-5,A,America/New_York
8561,Finger Lakes Regional Airport,Seneca Falls,US,0G7,\N,42.8835647,-76.7812318,492,-5,A,America/New_York
8562,Stormville Airport,Stormville,US,N69,\N,41.5769708,-73.7323514,358,-5,A,America/New_York
8563,Robertson Field,Plainville,US,4B8,\N,41.6893333,-72.8646944,202,-5,A,America/New_York
8564,Williams County Airport,Bryan,US,0G6,\N,41.4673056,-84.5067778,730,-5,A,America/New_York
8565,Clearwater Air Park,Clearwater,US,CLW,KCLW,27.9764722,-82.7586667,70,-5,A,America/New_York
8566,South Lakeland Airport,Lakeland,US,X49,\N,27.9333581,-82.0439739,110,-5,A,America/New_York
8567,Scatsta Airport,Scatsta,GB,SCS,\N,60.433,-1.3,0,0,U,Europe/London
8568,North Sea,Buchan Alpha,GB,,\N,57.9039,0.0319,0,0,U,\N
8569,North Sea,Buchan Alpha,GB,,\N,57.9039,0.0319,0,0,U,\N
8570,North Sea,Claymore,GB,,CLAA,58.4494,-0.2536,0,0,U,\N
8571,North Sea,FPSO Anasuria,GB,,ANAS,57.1524,0.0483,0,0,U,\N
8572,North Sea,BP Bruce,GB,,BRU1,58.44,2.33,0,0,U,\N
8573,North Sea,Buchan Alpha,GB,,BUCA,57.9039,0.0319,0,0,U,\N
8574,North Sea,Buzzard,GB,,BUZZ,56.8,0.766,0,0,U,\N
8575,North Sea,Clyde,GB,,CLY1,56.45,2.2833,0,0,U,\N
8576,North Sea,Cormorant Alpha,GB,,COA1,61.2333,-1.15,0,0,U,\N
8577,North Sea,Forties Alpha,GB,,FA08,57.7167,-1.0167,0,0,U,\N
8578,North Sea,Forties Charlie,GB,,FC08,57.7167,-1.0167,0,0,U,\N
8579,North Sea,Fulmar,GB,,FUA1,56.48,2.13,0,0,U,\N
8580,North Sea,Gannet Alpha,GB,,GAA1,57.3,1.2,0,0,U,\N
8581,North Sea,Montrose Alpha,GB,,MOA1,57.4506,1.3883,0,0,U,\N
8582,North Sea,Tern,GB,,TEA1,61.3333,0.8333,0,0,U,\N
8583,Atlantic Ocean,FPSO Xikomba,AO,,XKSO,-6.0333,11.0166,0,0,U,\N
8584,Zoo,Berlin,DE,QWC,\N,52.507222,13.3325,120,1,E,Europe/Berlin
8585,Frankfurt Oder Hbf,Frankfurt Oder,DE,ZFR,\N,52.336944,14.547222,177,1,E,Europe/Berlin
8586,Gare de Lyon,Paris,FR,PLY,\N,48.844722,2.373611,129,1,E,Europe/Paris
8587,Gare de LEst,Paris,FR,XHP,\N,48.876944,2.359167,149,1,E,Europe/Paris
8588,All Airports,Paris,FR,PAR,\N,48.856389,2.352222,107,1,E,Europe/Paris
8589,Ostbahnhof,Berlin,DE,BHF,\N,52.51,13.434722,135,1,E,Europe/Berlin
8590,All Airports,London,GB,LON,\N,51.508056,-0.127778,66,0,E,Europe/London
8591,All Airports,New York,US,NYC,\N,40.714167,-74.005833,31,-5,A,America/New_York
8592,All Airports,Chicago,US,CHI,\N,41.883611,-87.631667,596,-6,A,America/Chicago
8593,Meigs Field,Chicago,US,CGX,KCGX,41.860278,-87.609722,585,-6,A,America/Chicago
8594,All Airports,Tokyo,JP,TYO,\N,35.689444,139.691667,123,9,U,Asia/Tokyo
8595,All Airports,Beijing,CN,BJS,\N,39.904167,116.407222,171,8,U,Asia/Chongqing
8596,All Airports,Milan,IT,MIL,\N,45.463611,9.188056,402,1,E,Europe/Rome
8597,All Airports,Washington,US,WAS,\N,38.889444,-77.035278,25,-5,A,America/New_York
8598,All Airports,Montreal,CA,YMQ,\N,45.508611,-73.553889,53,-5,A,America/Toronto
8599,All Airports,Toronto,CA,YTO,\N,43.653056,-79.383056,302,-5,A,America/Toronto
8600,Longhua Airport,Shanghai,CN,,ZSSL,31.166944,121.453611,14,8,U,Asia/Chongqing
8601,Pickens County Airport,Jasper,US,JZP,KJZP,34.4534722,-84.4572222,1535,-5,A,America/New_York
8602,Gesundbrunnen,Berlin,DE,BGS,\N,52.548611,13.389444,150,1,E,Europe/Berlin
8603,Saarmund Airport,Saarmund,DE,,EDCS,52.3089943,13.1006727,160,1,E,Europe/Berlin
8604,Grand Strand Airport,North Myrtle Beach,US,CRE,\N,33.81175,-78.7239444,31,-5,A,America/New_York
8605,Sun Moon Lake Airport,Sun Moon Lake,TW,SMT,\N,23.8833,120.933,2405,8,U,Asia/Taipei
8606,Lansing Municipal,Lansing,US,IGQ,KIGQ,41.5349167,-87.5295278,620,-6,A,America/Chicago
8607,Bloyer Field,Tomah,US,Y72,\N,43.9762222,-90.4806111,966,-6,A,America/Chicago
8608,Ramona Airport,Ramona,US,RNM,KRNM,33.0391667,-116.91525,1395,-8,A,America/Los_Angeles
8609,Dole-Pont Sur Yonne Airport,Pont Sur Yonne,FR,,LFGO,48.288333,3.246389,223,1,E,Europe/Paris
8610,Dole-St Florentin Cheu Airport,St Florentin Cheu,FR,,LFGP,47.981389,3.776389,345,1,E,Europe/Paris
8611,Guiscriff-Saulieu Liernais Airport,Saulieu,FR,,LFEW,47.238611,4.263056,1699,1,E,Europe/Paris
8612,Olten Airport,Olten,CH,,LSPO,47.343611,7.8875,1370,1,E,Europe/Zurich
8613,Buochs Airport,Buochs,CH,BXO,LSZC,46.9725,8.398611,1464,1,E,Europe/Zurich
8614,Ambri Airport,Quinto,CH,,LSPM,46.513056,8.689444,3214,1,E,Europe/Zurich
8615,Lodrino Airport,Lodrino,CH,,LSML,46.29499,8.9916,850,1,E,Europe/Zurich
8616,Roudnice Airport,Roudnice nad Lebem,CZ,,LKRO,50.407222,14.232778,719,1,E,Europe/Prague
8617,Usti Nad Labem Airport,Usti Nad Labem,CZ,,LKUL,50.698889,13.970833,765,1,E,Europe/Prague
8618,Mauterndorf Airport,Mauterndorf,AT,,LOSM,47.131667,13.695278,3629,1,E,Europe/Vienna
8619,Notsch Im Gailtal Airport,Notsch Im Gailtal,AT,,LOKN,46.580833,13.629167,1810,1,E,Europe/Vienna
8620,Forchheim Airport,Karlsruhe,DE,,EDTK,49.097778,8.453056,400,1,E,Europe/Berlin
8621,Bergstrasse Airport,Weinheim,DE,,EDGZ,49.567222,8.611389,319,1,E,Europe/Berlin
8622,Creil-Meaux Esbly Airport,Meaux,FR,,LFPE,48.928611,2.833056,210,1,E,Europe/Paris
8623,Belleau Airport,Chateau-Thierry,FR,,LFFH,49.066944,3.356111,719,1,E,Europe/Paris
8624,Branch County Memorial Airport,Coldwater,US,OEB,KOEB,41.9335691,-85.0522935,959,-5,A,America/New_York
8625,Wilkes-Barre Wyoming Valley Airport,Wilkes-Barre,US,WBW,KWBW,41.2973074,-75.8522405,543,-5,A,America/New_York
8626,Lost Nation Municipal Airport,Willoughby,US,LNN,KLNN,41.6840278,-81.38975,626,-5,A,America/New_York
8627,Taoyuan Air Base,Taoyuan,TW,,RCGM,25.05660057,121.2442627,143,8,U,Asia/Taipei
8628,Uummannaq Heliport,Uummannaq,GL,UMD,BGUM,70.4047,52.0702,5,-4,E,\N
8629,Civitavecchia,Civitavecchia,IT,,\N,42.6,11.48,0,1,E,Europe/Rome
8630,Bayannur,Bayannur,CN,RLK,\N,40.926389,107.738889,3389,8,U,Asia/Chongqing
